,Open,High,Low,Close,open,high,low,close,RSI,MACD,MACD_signal,ATR,STOCH_K,STOCH_D,BB_upper,BB_middle,BB_lower,momentum,volatility,return_1,return_2,return_3,return_5,return_10
2016-07-28,23.33,23.33,23.3,23.314,,,,,,,,,,,,,,,,,,,,
2016-07-29,23.991,24.247,23.87,24.235,,,,,,,,,,,,,,,,,,,,
2016-08-01,23.036,23.272,23.036,23.059,,,,,,,,,,,,,,,,,,,,
2016-08-02,23.371,23.371,23.371,23.283,,,,,,,,,,,,,,,,,,,,
2016-08-03,23.521,23.521,23.465,23.475,,,,,,,,,,,,,,,,,,,,
2016-08-04,23.532,23.532,23.437,23.465,,,,,,,,,,,,,,,,,,,,
2016-08-05,24.14,24.199,23.963,24.04,,,,,,,,,,,,,,,,,,,,
2016-08-08,23.41,23.41,23.399,23.394,,,,,,,,,,,,,,,,,,,,
2016-08-09,23.316,23.316,23.239,23.324,,,,,,,,,,,,,,,,,,,,
2016-08-10,23.18,23.483,23.18,23.164,,,,,,,,,,,,,,,,,,,,
2016-08-11,23.436,23.436,23.427,23.449,,,,,,,,,,,,,,,,,,,,
2016-08-12,24.081,24.172,23.951,23.964,,,,,,,,,,,,,,,,,,,,
2016-08-15,23.356,23.431,23.356,23.338,,,,,,,,,,,,,,,,,,,,
2016-08-16,23.351,23.351,23.307,23.362,,,,,,,,,,,,,,,,,,,,
2016-08-17,23.373,23.535,23.373,23.307,,,,,,,,,,,,,,,,,,,,
2016-08-18,23.435,23.435,23.435,23.434,,,,,,,,,,,,,,,,,,,,
2016-08-19,24.053,24.144,23.939,24.124,,,,,,,,,,,,,,,,,,,,
2016-08-22,23.53,23.625,23.53,23.524,,,,,,,,,,,,,,,,,,,,
2016-08-23,23.588,23.588,23.562,23.594,,,,,,,,,,,,,,,,,,,,
2016-08-24,23.555,23.555,23.453,23.566,,,,,,,,,,,,,,,,,,,,
2016-08-25,23.481,23.525,23.481,23.465,,,,,,,,,,,,,,,,,,,,
2016-08-26,24.144,24.312,23.892,23.953,,,,,,,,,,,,,,,,,,,,
2016-08-29,23.363,23.366,23.273,23.363,,,,,,,,,,,,,,,,,,,,
2016-08-30,23.165,23.165,23.165,23.201,,,,,,,,,,,,,,,,,,,,
2016-08-31,23.133,23.256,23.133,23.139,,,,,,,,,,,,,,,,,,,,
2016-09-01,23.192,23.227,23.192,23.192,,,,,,,,,,,,,,,,,,,,
2016-09-02,23.91,24.041,23.818,23.957,,,,,,,,,,,,,,,,,,,,
2016-09-05,23.184,23.248,23.184,23.157,,,,,,,,,,,,,,,,,,,,
2016-09-06,23.246,23.302,23.246,23.24,,,,,,,,,,,,,,,,,,,,
2016-09-07,23.286,23.474,23.286,23.298,,,,,,,,,,,,,,,,,,,,
2016-09-08,23.271,23.296,23.271,23.277,,,,,,,,,,,,,,,,,,,,
2016-09-09,23.897,24.056,23.745,23.747,,,,,,,,,,,,,,,,,,,,
2016-09-12,23.29,23.29,23.243,23.296,,,,,,,,,,,,,,,,,,,,
2016-09-13,23.048,23.048,23.028,23.051,,,,,,,,,,,,,,,,,,,,
2016-09-14,23.01,23.024,23.01,22.978,,,,,,,,,,,,,,,,,,,,
2016-09-15,23.124,23.124,23.087,23.149,,,,,,,,,,,,,,,,,,,,
2016-09-16,23.776,23.805,23.648,23.728,,,,,,,,,,,,,,,,,,,,
2016-09-19,22.969,22.982,22.969,22.971,,,,,,,,,,,,,,,,,,,,
2016-09-20,23.066,23.19,23.065,23.072,,,,,,,,,,,,,,,,,,,,
2016-09-21,23.238,23.33,23.238,23.204,,,,,,,,,,,,,,,,,,,,
2016-09-22,23.359,23.359,23.274,23.348,,,,,,,,,,,,,,,,,,,,
2016-09-23,23.953,23.963,23.795,23.873,,,,,,,,,,,,,,,,,,,,
2016-09-26,23.318,23.382,23.318,23.32,,,,,,,,,,,,,,,,,,,,
